
$ /home/dblab/anaconda3/envs/mllm_ft/bin/python /home/dblab/hj/mllm_v2/scripts/33_eval_image_only_generalization.py --dataset vqav2 --metric vqa --index /home/dblab/hj/mllm_v2/data/vqav2/index.json --run-dir /home/dblab/hj/mllm_v2/runs/image_only_generalization/vqav2 --temp-root /home/dblab/hj/mllm_v2/runs/image_only_generalization/_temporary_visual_kv/vqav2 --experiment-id 9992ea89-98de-4b37-ad23-f62f60e0327c --skip 1 --questions 4 --shard-index 0 --shard-size 1000 --expected-index-sha256 b83d5fa288fcb722ca073e261d3fec9086629ed0db2e568a2d5d6a24ef1589d7 --expected-workload-sha256 e341b499a968c5caba4ddffc58fdf0ccafe2e0e212b6cb280ca1b11fc9f31d18 --expected-images 250 --expected-questions 1000 --seed 1234 --max-new-tokens 16 --min-free-after-gib 64.0

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.31s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.25s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.04s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.10s/it]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[1/250] 524637: 16 rows published; store 1.34 GB
[32/250] 1490: 16 rows published; store 0.99 GB
[33/250] 264968: 16 rows published; store 0.84 GB
[34/250] 22403: 16 rows published; store 1.33 GB
[35/250] 263612: 16 rows published; store 1.33 GB
[36/250] 527603: 16 rows published; store 1.23 GB
[37/250] 197262: 16 rows published; store 1.23 GB
[38/250] 525024: 16 rows published; store 1.33 GB
[39/250] 264124: 16 rows published; store 1.21 GB
[40/250] 394940: 16 rows published; store 1.23 GB
[41/250] 263351: 16 rows published; store 1.33 GB
[42/250] 393282: 16 rows published; store 1.66 GB
[43/250] 546191: 16 rows published; store 1.21 GB
[44/250] 527022: 16 rows published; store 1.33 GB
[45/250] 393284: 16 rows published; store 1.23 GB
[46/250] 133622: 16 rows published; store 1.66 GB
[47/250] 262386: 16 rows published; store 1.23 GB
[48/250] 1342: 16 rows published; store 1.33 GB
[49/250] 527193: 16 rows published; store 1.33 GB
[50/250] 3934: 16 rows published; store 1.34 GB
[51/250] 262466: 16 rows published; store 1.21 GB
[52/250] 262609: 16 rows published; store 1.33 GB
[53/250] 265742: 16 rows published; store 1.21 GB
[54/250] 761: 16 rows published; store 1.33 GB
[55/250] 396676: 16 rows published; store 1.33 GB
[56/250] 396568: 16 rows published; store 1.21 GB
[57/250] 2149: 16 rows published; store 1.21 GB
[58/250] 306108: 16 rows published; store 1.34 GB
[59/250] 131969: 16 rows published; store 1.45 GB
[60/250] 395291: 16 rows published; store 1.33 GB
[61/250] 133567: 16 rows published; store 1.21 GB
[62/250] 131295: 16 rows published; store 1.34 GB
[63/250] 87489: 16 rows published; store 1.21 GB
[64/250] 526197: 16 rows published; store 1.23 GB
[65/250] 132682: 16 rows published; store 1.33 GB
[66/250] 284641: 16 rows published; store 1.33 GB
[67/250] 264155: 16 rows published; store 1.21 GB
[68/250] 525369: 16 rows published; store 1.21 GB
[69/250] 2171: 16 rows published; store 1.21 GB
[70/250] 393647: 16 rows published; store 1.38 GB
[71/250] 263828: 16 rows published; store 1.21 GB
[72/250] 135155: 16 rows published; store 1.33 GB
[73/250] 2972: 16 rows published; store 1.33 GB
[74/250] 525619: 16 rows published; store 1.33 GB
[75/250] 395801: 16 rows published; store 1.33 GB
[76/250] 131815: 16 rows published; store 1.66 GB
[77/250] 240972: 16 rows published; store 1.33 GB
[78/250] 135076: 16 rows published; store 1.21 GB
[79/250] 396736: 16 rows published; store 1.34 GB
[80/250] 394206: 16 rows published; store 1.33 GB
[81/250] 527616: 16 rows published; store 1.38 GB
[82/250] 525077: 16 rows published; store 0.99 GB
[83/250] 525665: 16 rows published; store 1.21 GB
[84/250] 2562: 16 rows published; store 1.21 GB
[85/250] 396693: 16 rows published; store 1.21 GB
[86/250] 265407: 16 rows published; store 1.21 GB
[87/250] 266099: 16 rows published; store 1.33 GB
[88/250] 134119: 16 rows published; store 1.21 GB
[89/250] 3793: 16 rows published; store 1.21 GB
[90/250] 1577: 16 rows published; store 1.23 GB
[91/250] 265636: 16 rows published; store 1.33 GB
[92/250] 526353: 16 rows published; store 1.33 GB
[93/250] 527407: 16 rows published; store 1.38 GB
[94/250] 134223: 16 rows published; store 1.33 GB
[95/250] 393982: 16 rows published; store 1.34 GB
[96/250] 134886: 16 rows published; store 1.33 GB
[97/250] 394773: 16 rows published; store 1.10 GB
[98/250] 1146: 16 rows published; store 1.23 GB
[99/250] 393423: 16 rows published; store 1.21 GB
[100/250] 3947: 16 rows published; store 1.66 GB
[101/250] 525373: 16 rows published; store 1.33 GB
[102/250] 263120: 16 rows published; store 1.10 GB
[103/250] 775: 16 rows published; store 1.21 GB
[104/250] 21900: 16 rows published; store 1.21 GB
[105/250] 132612: 16 rows published; store 1.33 GB
[106/250] 526580: 16 rows published; store 1.33 GB
[107/250] 265433: 16 rows published; store 1.21 GB
[108/250] 134288: 16 rows published; store 1.10 GB
[109/250] 525118: 16 rows published; store 1.21 GB
[110/250] 133060: 16 rows published; store 1.21 GB
[111/250] 132415: 16 rows published; store 1.27 GB
[112/250] 395113: 16 rows published; store 1.16 GB
[113/250] 135116: 16 rows published; store 1.66 GB
[114/250] 134649: 16 rows published; store 1.34 GB
[115/250] 133087: 16 rows published; store 1.21 GB
[116/250] 536: 16 rows published; store 0.78 GB
[117/250] 524775: 16 rows published; store 1.10 GB
[118/250] 131207: 16 rows published; store 1.33 GB
[119/250] 524333: 16 rows published; store 1.33 GB
[120/250] 396997: 16 rows published; store 1.21 GB
[121/250] 527248: 16 rows published; store 1.10 GB
[122/250] 764: 16 rows published; store 1.21 GB
[123/250] 526456: 16 rows published; store 1.33 GB
[124/250] 134074: 16 rows published; store 1.66 GB
[125/250] 262391: 16 rows published; store 1.21 GB
[126/250] 382345: 16 rows published; store 1.34 GB
[127/250] 265066: 16 rows published; store 1.27 GB
[128/250] 525988: 16 rows published; store 1.21 GB
[129/250] 395634: 16 rows published; store 1.33 GB
[130/250] 527846: 16 rows published; store 1.33 GB
[131/250] 525568: 16 rows published; store 1.21 GB
[132/250] 528458: 16 rows published; store 1.33 GB
[133/250] 134075: 16 rows published; store 1.33 GB
[134/250] 262161: 16 rows published; store 1.21 GB
[135/250] 264506: 16 rows published; store 1.21 GB
[136/250] 327383: 16 rows published; store 1.33 GB
[137/250] 131938: 16 rows published; store 1.28 GB
[138/250] 371864: 16 rows published; store 1.33 GB
[139/250] 2894: 16 rows published; store 1.23 GB
[140/250] 568040: 16 rows published; store 1.21 GB
[141/250] 263696: 16 rows published; store 1.21 GB
[142/250] 527219: 16 rows published; store 1.21 GB
[143/250] 264625: 16 rows published; store 1.33 GB
[144/250] 395665: 16 rows published; store 1.21 GB
[145/250] 2613: 16 rows published; store 1.21 GB
[146/250] 524889: 16 rows published; store 1.16 GB
[147/250] 395621: 16 rows published; store 1.21 GB
[148/250] 134199: 16 rows published; store 1.33 GB
[149/250] 396269: 16 rows published; store 1.34 GB
[150/250] 526555: 16 rows published; store 1.16 GB
[151/250] 527375: 16 rows published; store 0.91 GB
[152/250] 134459: 16 rows published; store 1.21 GB
[153/250] 526767: 16 rows published; store 1.23 GB
[154/250] 264615: 16 rows published; store 1.21 GB
[155/250] 525762: 16 rows published; store 1.21 GB
[156/250] 568439: 16 rows published; store 1.27 GB
[157/250] 133104: 16 rows published; store 1.23 GB
[158/250] 525119: 16 rows published; store 1.34 GB
[159/250] 2139: 16 rows published; store 1.21 GB
[160/250] 393864: 16 rows published; store 1.21 GB
[161/250] 526645: 16 rows published; store 1.23 GB
[162/250] 393809: 16 rows published; store 1.21 GB
[163/250] 524642: 16 rows published; store 1.34 GB
[164/250] 502001: 16 rows published; store 1.33 GB
[165/250] 264382: 16 rows published; store 1.21 GB
[166/250] 394904: 16 rows published; store 1.33 GB
[167/250] 524450: 16 rows published; store 1.21 GB
[168/250] 134551: 16 rows published; store 1.21 GB
[169/250] 4079: 16 rows published; store 1.23 GB
[170/250] 394941: 16 rows published; store 1.21 GB
[171/250] 527962: 16 rows published; store 1.23 GB
[172/250] 187695: 16 rows published; store 1.34 GB
[173/250] 134722: 16 rows published; store 1.33 GB
[174/250] 263929: 16 rows published; store 1.33 GB
[175/250] 262235: 16 rows published; store 1.34 GB
[176/250] 525050: 16 rows published; store 1.34 GB
[177/250] 265574: 16 rows published; store 1.21 GB
[178/250] 2881: 16 rows published; store 1.33 GB
[179/250] 525666: 16 rows published; store 1.21 GB
[180/250] 2295: 16 rows published; store 1.27 GB
[181/250] 526723: 16 rows published; store 0.83 GB
[182/250] 3849: 16 rows published; store 1.33 GB
[183/250] 395230: 16 rows published; store 1.21 GB
[184/250] 396820: 16 rows published; store 1.34 GB
[185/250] 4125: 16 rows published; store 1.21 GB
[186/250] 133161: 16 rows published; store 1.66 GB
[187/250] 526560: 16 rows published; store 1.44 GB
[188/250] 525849: 16 rows published; store 1.34 GB
[189/250] 524601: 16 rows published; store 1.21 GB
[190/250] 134103: 16 rows published; store 1.33 GB
[191/250] 437205: 16 rows published; store 1.12 GB
[192/250] 132509: 16 rows published; store 1.66 GB
[193/250] 395185: 16 rows published; store 1.34 GB
[194/250] 132814: 16 rows published; store 1.60 GB
[195/250] 263211: 16 rows published; store 1.21 GB
[196/250] 263223: 16 rows published; store 1.21 GB
[197/250] 135139: 16 rows published; store 1.33 GB
[198/250] 3378: 16 rows published; store 1.23 GB
[199/250] 394449: 16 rows published; store 1.21 GB
[200/250] 525542: 16 rows published; store 1.21 GB
[201/250] 372009: 16 rows published; store 1.10 GB
[202/250] 525087: 16 rows published; store 1.33 GB
[203/250] 393523: 16 rows published; store 1.21 GB
[204/250] 528251: 16 rows published; store 1.33 GB
[205/250] 133680: 16 rows published; store 1.27 GB
[206/250] 395606: 16 rows published; store 1.21 GB
[207/250] 526401: 16 rows published; store 1.10 GB
[208/250] 350167: 16 rows published; store 1.66 GB
[209/250] 393277: 16 rows published; store 1.12 GB
[210/250] 22103: 16 rows published; store 1.33 GB
[211/250] 263323: 16 rows published; store 1.33 GB
[212/250] 396324: 16 rows published; store 1.33 GB
[213/250] 263014: 16 rows published; store 1.33 GB
[214/250] 395904: 16 rows published; store 1.21 GB
[215/250] 506401: 16 rows published; store 1.33 GB
[216/250] 266070: 16 rows published; store 1.34 GB
[217/250] 371506: 16 rows published; store 1.23 GB
[218/250] 395210: 16 rows published; store 1.33 GB
[219/250] 528261: 16 rows published; store 0.83 GB
[220/250] 133690: 16 rows published; store 1.21 GB
[221/250] 44003: 16 rows published; store 0.99 GB
[222/250] 133476: 16 rows published; store 1.33 GB
[223/250] 397309: 16 rows published; store 0.83 GB
[224/250] 133927: 16 rows published; store 1.21 GB
[225/250] 397117: 16 rows published; store 1.16 GB
[226/250] 134542: 16 rows published; store 1.21 GB
[227/250] 885: 16 rows published; store 1.21 GB
[228/250] 395324: 16 rows published; store 1.21 GB
[229/250] 527906: 16 rows published; store 1.66 GB
[230/250] 3488: 16 rows published; store 0.83 GB
[231/250] 459272: 16 rows published; store 1.34 GB
[232/250] 262242: 16 rows published; store 0.83 GB
[233/250] 264718: 16 rows published; store 1.34 GB
[234/250] 3779: 16 rows published; store 1.33 GB
[235/250] 711: 16 rows published; store 1.33 GB
[236/250] 528462: 16 rows published; store 1.33 GB
[237/250] 1655: 16 rows published; store 1.21 GB
[238/250] 2529: 16 rows published; store 1.34 GB
[239/250] 527885: 16 rows published; store 1.44 GB
[240/250] 131539: 16 rows published; store 1.23 GB
[241/250] 262605: 16 rows published; store 1.55 GB
[242/250] 133377: 16 rows published; store 1.33 GB
[243/250] 395849: 16 rows published; store 1.10 GB
[244/250] 526536: 16 rows published; store 1.21 GB
[245/250] 1000: 16 rows published; store 1.33 GB
[246/250] 3761: 16 rows published; store 1.27 GB
[247/250] 525183: 16 rows published; store 1.21 GB
[248/250] 133251: 16 rows published; store 1.66 GB
[249/250] 44250: 16 rows published; store 1.23 GB
[250/250] 131557: 16 rows published; store 1.66 GB
completed shard 0: 250 images
