
$ /home/dblab/anaconda3/envs/mllm_ft/bin/python /home/dblab/hj/mllm_v2/scripts/33_eval_image_only_generalization.py --dataset gqa_large --metric gqa --index /home/dblab/hj/mllm_v2/data/gqa_large/index.json --run-dir /home/dblab/hj/mllm_v2/runs/image_only_generalization/gqa_large --temp-root /home/dblab/hj/mllm_v2/runs/image_only_generalization/_temporary_visual_kv/gqa_large --experiment-id 9992ea89-98de-4b37-ad23-f62f60e0327c --skip 1 --questions 3 --shard-index 0 --shard-size 1000 --expected-index-sha256 0d50962f0c1bac3bc6e1836978289d5fde7d60b434f55cebbc4607c4c80a797c --expected-workload-sha256 cabec1bb1035c836839b98d72ba6a04558529d246cf55f8499ca75ea2d2f290c --expected-images 395 --expected-questions 1185 --seed 1234 --max-new-tokens 16 --min-free-after-gib 64.0

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.29s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.24s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.04s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.10s/it]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[1/395] n282436: 12 rows published; store 1.33 GB
[71/395] n186491: 12 rows published; store 1.33 GB
[72/395] n417401: 12 rows published; store 1.34 GB
[73/395] n146522: 12 rows published; store 1.21 GB
[74/395] n184385: 12 rows published; store 1.33 GB
[75/395] n393305: 12 rows published; store 1.34 GB
[76/395] n410476: 12 rows published; store 1.23 GB
[77/395] n88366: 12 rows published; store 1.10 GB
[78/395] n249639: 12 rows published; store 1.23 GB
[79/395] n406334: 12 rows published; store 1.21 GB
[80/395] n579928: 12 rows published; store 1.55 GB
[81/395] n532213: 12 rows published; store 1.21 GB
[82/395] n283587: 12 rows published; store 1.33 GB
[83/395] n579256: 12 rows published; store 1.33 GB
[84/395] n238266: 12 rows published; store 1.33 GB
[85/395] n117888: 12 rows published; store 1.39 GB
[86/395] n398429: 12 rows published; store 1.33 GB
[87/395] n116329: 12 rows published; store 1.21 GB
[88/395] n9181: 12 rows published; store 1.34 GB
[89/395] n98540: 12 rows published; store 1.39 GB
[90/395] n511881: 12 rows published; store 1.33 GB
[91/395] n28792: 12 rows published; store 1.21 GB
[92/395] n572716: 12 rows published; store 1.21 GB
[93/395] n150962: 12 rows published; store 1.38 GB
[94/395] n481655: 12 rows published; store 1.33 GB
[95/395] n314630: 12 rows published; store 0.83 GB
[96/395] n400036: 12 rows published; store 1.21 GB
[97/395] n199758: 12 rows published; store 1.23 GB
[98/395] n19152: 12 rows published; store 1.21 GB
[99/395] n299528: 12 rows published; store 1.34 GB
[100/395] n35676: 12 rows published; store 0.78 GB
[101/395] n153293: 12 rows published; store 1.66 GB
[102/395] n66756: 12 rows published; store 1.21 GB
[103/395] n160664: 12 rows published; store 1.21 GB
[104/395] n275857: 12 rows published; store 1.21 GB
[105/395] n250715: 12 rows published; store 1.33 GB
[106/395] n433692: 12 rows published; store 1.33 GB
[107/395] n59676: 12 rows published; store 1.23 GB
[108/395] n342511: 12 rows published; store 1.34 GB
[109/395] n281241: 12 rows published; store 1.23 GB
[110/395] n192021: 12 rows published; store 1.23 GB
[111/395] n55058: 12 rows published; store 1.66 GB
[112/395] n271392: 12 rows published; store 1.21 GB
[113/395] n499081: 12 rows published; store 1.21 GB
[114/395] n235859: 12 rows published; store 1.33 GB
[115/395] n187544: 12 rows published; store 1.21 GB
[116/395] n503626: 12 rows published; store 1.34 GB
[117/395] n256120: 12 rows published; store 1.21 GB
[118/395] n260762: 12 rows published; store 1.21 GB
[119/395] n318370: 12 rows published; store 1.33 GB
[120/395] n302358: 12 rows published; store 0.94 GB
[121/395] n199286: 12 rows published; store 1.27 GB
[122/395] n477702: 12 rows published; store 1.21 GB
[123/395] n507959: 12 rows published; store 0.83 GB
[124/395] n449058: 12 rows published; store 1.38 GB
[125/395] n357126: 12 rows published; store 1.33 GB
[126/395] n262929: 12 rows published; store 1.23 GB
[127/395] n315859: 12 rows published; store 0.96 GB
[128/395] n475030: 12 rows published; store 1.34 GB
[129/395] n207893: 12 rows published; store 1.33 GB
[130/395] n398257: 12 rows published; store 1.34 GB
[131/395] n130464: 12 rows published; store 1.33 GB
[132/395] n346247: 12 rows published; store 1.21 GB
[133/395] n68769: 12 rows published; store 1.33 GB
[134/395] n118102: 12 rows published; store 1.21 GB
[135/395] n143935: 12 rows published; store 1.33 GB
[136/395] n257997: 12 rows published; store 1.38 GB
[137/395] n65885: 12 rows published; store 1.34 GB
[138/395] n90294: 12 rows published; store 1.33 GB
[139/395] n544255: 12 rows published; store 1.34 GB
[140/395] n273901: 12 rows published; store 1.33 GB
[141/395] n373692: 12 rows published; store 1.21 GB
[142/395] n48494: 12 rows published; store 0.83 GB
[143/395] n210269: 12 rows published; store 0.83 GB
[144/395] n222297: 12 rows published; store 1.21 GB
[145/395] n531359: 12 rows published; store 1.34 GB
[146/395] n481777: 12 rows published; store 1.21 GB
[147/395] n415215: 12 rows published; store 1.23 GB
[148/395] n512257: 12 rows published; store 1.21 GB
[149/395] n16425: 12 rows published; store 1.38 GB
[150/395] n59147: 12 rows published; store 1.33 GB
[151/395] n46510: 12 rows published; store 1.33 GB
[152/395] n313060: 12 rows published; store 1.66 GB
[153/395] n311910: 12 rows published; store 1.21 GB
[154/395] n259949: 12 rows published; store 1.16 GB
[155/395] n54180: 12 rows published; store 1.34 GB
[156/395] n37274: 12 rows published; store 1.33 GB
[157/395] n200907: 12 rows published; store 1.33 GB
[158/395] n347706: 12 rows published; store 1.28 GB
[159/395] n386688: 12 rows published; store 1.16 GB
[160/395] n262920: 12 rows published; store 1.66 GB
[161/395] n98544: 12 rows published; store 1.34 GB
[162/395] n477215: 12 rows published; store 1.21 GB
[163/395] n211324: 12 rows published; store 1.33 GB
[164/395] n534106: 12 rows published; store 1.33 GB
[165/395] n77818: 12 rows published; store 1.34 GB
[166/395] n289376: 12 rows published; store 1.34 GB
[167/395] n69237: 12 rows published; store 1.33 GB
[168/395] n16936: 12 rows published; store 1.21 GB
[169/395] n350732: 12 rows published; store 1.21 GB
[170/395] n223750: 12 rows published; store 1.61 GB
[171/395] n146555: 12 rows published; store 1.34 GB
[172/395] n275148: 12 rows published; store 1.33 GB
[173/395] n195249: 12 rows published; store 1.05 GB
[174/395] n282607: 12 rows published; store 0.84 GB
[175/395] n95313: 12 rows published; store 1.33 GB
[176/395] n23762: 12 rows published; store 1.34 GB
[177/395] n54424: 12 rows published; store 1.21 GB
[178/395] n187961: 12 rows published; store 1.33 GB
[179/395] n508733: 12 rows published; store 1.23 GB
[180/395] n573460: 12 rows published; store 1.21 GB
[181/395] n540852: 12 rows published; store 1.50 GB
[182/395] n28572: 12 rows published; store 1.23 GB
[183/395] n319845: 12 rows published; store 1.33 GB
[184/395] n206358: 12 rows published; store 1.21 GB
[185/395] n240973: 12 rows published; store 1.33 GB
[186/395] n431447: 12 rows published; store 1.33 GB
[187/395] n309148: 12 rows published; store 1.66 GB
[188/395] n488874: 12 rows published; store 1.21 GB
[189/395] n195925: 12 rows published; store 1.21 GB
[190/395] n228268: 12 rows published; store 1.21 GB
[191/395] n369595: 12 rows published; store 1.21 GB
[192/395] n168412: 12 rows published; store 1.16 GB
[193/395] n379991: 12 rows published; store 1.33 GB
[194/395] n346736: 12 rows published; store 1.33 GB
[195/395] n232810: 12 rows published; store 1.34 GB
[196/395] n538039: 12 rows published; store 1.21 GB
[197/395] n12404: 12 rows published; store 1.21 GB
[198/395] n489699: 12 rows published; store 1.21 GB
[199/395] n386682: 12 rows published; store 1.33 GB
[200/395] n355339: 12 rows published; store 1.21 GB
[201/395] n140421: 12 rows published; store 1.21 GB
[202/395] n310828: 12 rows published; store 1.21 GB
[203/395] n446242: 12 rows published; store 1.33 GB
[204/395] n317260: 12 rows published; store 1.33 GB
[205/395] n317189: 12 rows published; store 1.23 GB
[206/395] n100552: 12 rows published; store 1.38 GB
[207/395] n162108: 12 rows published; store 1.33 GB
[208/395] n541482: 12 rows published; store 0.91 GB
[209/395] n334278: 12 rows published; store 1.21 GB
[210/395] n95369: 12 rows published; store 1.23 GB
[211/395] n525029: 12 rows published; store 1.33 GB
[212/395] n155555: 12 rows published; store 1.33 GB
[213/395] n92308: 12 rows published; store 1.21 GB
[214/395] n302387: 12 rows published; store 1.34 GB
[215/395] n125122: 12 rows published; store 1.33 GB
[216/395] n470131: 12 rows published; store 1.21 GB
[217/395] n59627: 12 rows published; store 1.38 GB
[218/395] n83784: 12 rows published; store 1.33 GB
[219/395] n258500: 12 rows published; store 1.21 GB
[220/395] n51658: 12 rows published; store 1.23 GB
[221/395] n514467: 12 rows published; store 1.33 GB
[222/395] n58220: 12 rows published; store 1.33 GB
[223/395] n541854: 12 rows published; store 1.33 GB
[224/395] n565418: 12 rows published; store 1.10 GB
[225/395] n52544: 12 rows published; store 1.23 GB
[226/395] n380113: 12 rows published; store 1.21 GB
[227/395] n88933: 12 rows published; store 1.33 GB
[228/395] n200692: 12 rows published; store 1.33 GB
[229/395] n65866: 12 rows published; store 1.34 GB
[230/395] n288870: 12 rows published; store 1.21 GB
[231/395] n549922: 12 rows published; store 1.21 GB
[232/395] n240666: 12 rows published; store 1.34 GB
[233/395] n329479: 12 rows published; store 1.23 GB
[234/395] n460556: 12 rows published; store 1.33 GB
[235/395] n469525: 12 rows published; store 1.21 GB
[236/395] n496803: 12 rows published; store 0.79 GB
[237/395] n541688: 12 rows published; store 1.21 GB
[238/395] n217003: 12 rows published; store 1.34 GB
[239/395] n369970: 12 rows published; store 1.21 GB
[240/395] n381072: 12 rows published; store 1.33 GB
[241/395] n181210: 12 rows published; store 1.66 GB
[242/395] n264887: 12 rows published; store 0.82 GB
[243/395] n255161: 12 rows published; store 0.83 GB
[244/395] n413761: 12 rows published; store 1.21 GB
[245/395] n413319: 12 rows published; store 1.23 GB
[246/395] n329514: 12 rows published; store 1.16 GB
[247/395] n166008: 12 rows published; store 1.33 GB
[248/395] n233607: 12 rows published; store 1.21 GB
[249/395] n143672: 12 rows published; store 1.21 GB
[250/395] n167164: 12 rows published; store 1.33 GB
[251/395] n578564: 12 rows published; store 1.23 GB
[252/395] n480253: 12 rows published; store 1.16 GB
[253/395] n49310: 12 rows published; store 1.21 GB
[254/395] n131634: 12 rows published; store 1.33 GB
[255/395] n403734: 12 rows published; store 1.21 GB
[256/395] n272313: 12 rows published; store 1.21 GB
[257/395] n64959: 12 rows published; store 1.21 GB
[258/395] n433532: 12 rows published; store 1.23 GB
[259/395] n530733: 12 rows published; store 1.33 GB
[260/395] n310625: 12 rows published; store 1.33 GB
[261/395] n162148: 12 rows published; store 1.33 GB
[262/395] n472825: 12 rows published; store 1.33 GB
[263/395] n246334: 12 rows published; store 1.33 GB
[264/395] n133585: 12 rows published; store 1.21 GB
[265/395] n285391: 12 rows published; store 1.45 GB
[266/395] n141939: 12 rows published; store 1.34 GB
[267/395] n243701: 12 rows published; store 1.34 GB
[268/395] n369313: 12 rows published; store 1.21 GB
[269/395] n159802: 12 rows published; store 1.21 GB
[270/395] n548534: 12 rows published; store 1.21 GB
[271/395] n414992: 12 rows published; store 1.21 GB
[272/395] n312206: 12 rows published; store 1.33 GB
[273/395] n522733: 12 rows published; store 1.33 GB
[274/395] n278312: 12 rows published; store 1.33 GB
[275/395] n204894: 12 rows published; store 1.23 GB
[276/395] n170941: 12 rows published; store 1.33 GB
[277/395] n324644: 12 rows published; store 1.34 GB
[278/395] n229548: 12 rows published; store 1.45 GB
[279/395] n272098: 12 rows published; store 1.66 GB
[280/395] n351318: 12 rows published; store 1.34 GB
[281/395] n455563: 12 rows published; store 1.33 GB
[282/395] n167552: 12 rows published; store 1.21 GB
[283/395] n531731: 12 rows published; store 1.33 GB
[284/395] n181355: 12 rows published; store 1.33 GB
[285/395] n411121: 12 rows published; store 1.33 GB
[286/395] n527290: 12 rows published; store 1.33 GB
[287/395] n222915: 12 rows published; store 1.33 GB
[288/395] n184551: 12 rows published; store 1.34 GB
[289/395] n279581: 12 rows published; store 1.21 GB
[290/395] n28996: 12 rows published; store 1.33 GB
[291/395] n412144: 12 rows published; store 1.21 GB
[292/395] n479092: 12 rows published; store 1.33 GB
[293/395] n9856: 12 rows published; store 1.23 GB
[294/395] n209843: 12 rows published; store 1.33 GB
[295/395] n441859: 12 rows published; store 1.10 GB
[296/395] n94074: 12 rows published; store 1.27 GB
[297/395] n445353: 12 rows published; store 1.21 GB
[298/395] n437064: 12 rows published; store 1.21 GB
[299/395] n95904: 12 rows published; store 1.33 GB
[300/395] n318684: 12 rows published; store 1.21 GB
[301/395] n468864: 12 rows published; store 1.21 GB
[302/395] n326988: 12 rows published; store 1.21 GB
[303/395] n356822: 12 rows published; store 1.33 GB
[304/395] n500308: 12 rows published; store 1.34 GB
[305/395] n14: 12 rows published; store 1.34 GB
[306/395] n70461: 12 rows published; store 1.21 GB
[307/395] n524855: 12 rows published; store 1.21 GB
[308/395] n293477: 12 rows published; store 1.33 GB
[309/395] n202379: 12 rows published; store 1.27 GB
[310/395] n279173: 12 rows published; store 1.21 GB
[311/395] n214497: 12 rows published; store 1.21 GB
[312/395] n527589: 12 rows published; store 1.33 GB
[313/395] n280089: 12 rows published; store 1.38 GB
[314/395] n390187: 12 rows published; store 1.28 GB
[315/395] n137182: 12 rows published; store 0.83 GB
[316/395] n556604: 12 rows published; store 1.28 GB
[317/395] n298104: 12 rows published; store 1.23 GB
[318/395] n196058: 12 rows published; store 1.21 GB
[319/395] n6309: 12 rows published; store 1.33 GB
[320/395] n171169: 12 rows published; store 1.23 GB
[321/395] n86120: 12 rows published; store 1.21 GB
[322/395] n126087: 12 rows published; store 1.21 GB
[323/395] n545516: 12 rows published; store 1.33 GB
[324/395] n244826: 12 rows published; store 1.10 GB
[325/395] n498712: 12 rows published; store 1.33 GB
[326/395] n157375: 12 rows published; store 1.33 GB
[327/395] n207708: 12 rows published; store 1.34 GB
[328/395] n469156: 12 rows published; store 1.23 GB
[329/395] n513100: 12 rows published; store 1.21 GB
[330/395] n159284: 12 rows published; store 1.23 GB
[331/395] n145498: 12 rows published; store 1.21 GB
[332/395] n208302: 12 rows published; store 1.33 GB
[333/395] n352479: 12 rows published; store 1.39 GB
[334/395] n44249: 12 rows published; store 1.21 GB
[335/395] n199097: 12 rows published; store 1.21 GB
[336/395] n315887: 12 rows published; store 1.21 GB
[337/395] n111390: 12 rows published; store 1.23 GB
[338/395] n154856: 12 rows published; store 0.83 GB
[339/395] n473688: 12 rows published; store 1.34 GB
[340/395] n12214: 12 rows published; store 1.21 GB
[341/395] n551964: 12 rows published; store 1.33 GB
[342/395] n485969: 12 rows published; store 1.60 GB
[343/395] n429961: 12 rows published; store 1.33 GB
[344/395] n234683: 12 rows published; store 1.34 GB
[345/395] n546616: 12 rows published; store 1.33 GB
[346/395] n67005: 12 rows published; store 1.34 GB
[347/395] n276011: 12 rows published; store 1.21 GB
[348/395] n90944: 12 rows published; store 1.28 GB
[349/395] n450919: 12 rows published; store 1.34 GB
[350/395] n295771: 12 rows published; store 1.21 GB
[351/395] n542609: 12 rows published; store 1.21 GB
[352/395] n151768: 12 rows published; store 1.33 GB
[353/395] n498140: 12 rows published; store 1.21 GB
[354/395] n278453: 12 rows published; store 1.23 GB
[355/395] n14087: 12 rows published; store 1.33 GB
[356/395] n51002: 12 rows published; store 1.21 GB
[357/395] n4777: 12 rows published; store 1.34 GB
[358/395] n162586: 12 rows published; store 1.27 GB
[359/395] n562105: 12 rows published; store 1.27 GB
[360/395] n523165: 12 rows published; store 1.33 GB
[361/395] n154160: 12 rows published; store 1.34 GB
[362/395] n435808: 12 rows published; store 1.33 GB
[363/395] n493357: 12 rows published; store 1.33 GB
[364/395] n554880: 12 rows published; store 1.21 GB
[365/395] n153118: 12 rows published; store 1.33 GB
[366/395] n263180: 12 rows published; store 1.27 GB
[367/395] n460385: 12 rows published; store 1.34 GB
[368/395] n470920: 12 rows published; store 1.21 GB
[369/395] n119886: 12 rows published; store 1.23 GB
[370/395] n173807: 12 rows published; store 1.33 GB
[371/395] n65202: 12 rows published; store 1.33 GB
[372/395] n219840: 12 rows published; store 1.33 GB
[373/395] n97485: 12 rows published; store 1.33 GB
[374/395] n200225: 12 rows published; store 1.66 GB
[375/395] n434283: 12 rows published; store 1.21 GB
[376/395] n528403: 12 rows published; store 0.84 GB
[377/395] n451187: 12 rows published; store 0.83 GB
[378/395] n532191: 12 rows published; store 1.45 GB
[379/395] n543966: 12 rows published; store 1.33 GB
[380/395] n324908: 12 rows published; store 1.33 GB
[381/395] n89148: 12 rows published; store 1.34 GB
[382/395] n127705: 12 rows published; store 1.66 GB
[383/395] n119944: 12 rows published; store 1.21 GB
[384/395] n259002: 12 rows published; store 1.16 GB
[385/395] n331357: 12 rows published; store 1.16 GB
[386/395] n16656: 12 rows published; store 1.33 GB
[387/395] n161313: 12 rows published; store 0.91 GB
[388/395] n575770: 12 rows published; store 1.33 GB
[389/395] n557666: 12 rows published; store 1.21 GB
[390/395] n130638: 12 rows published; store 1.33 GB
[391/395] n511913: 12 rows published; store 1.21 GB
[392/395] n16378: 12 rows published; store 1.33 GB
[393/395] n115614: 12 rows published; store 1.21 GB
[394/395] n179136: 12 rows published; store 1.33 GB
[395/395] n413002: 12 rows published; store 1.27 GB
completed shard 0: 395 images
