
$ /home/dblab/anaconda3/envs/mllm_ft/bin/python /home/dblab/hj/mllm_v2/scripts/33_eval_image_only_generalization.py --dataset textvqa --metric vqa --index /home/dblab/hj/mllm_v2/data/textvqa/index.json --run-dir /home/dblab/hj/mllm_v2/runs/image_only_generalization/textvqa --temp-root /home/dblab/hj/mllm_v2/runs/image_only_generalization/_temporary_visual_kv/textvqa --experiment-id 9992ea89-98de-4b37-ad23-f62f60e0327c --skip 1 --questions 1 --shard-index 0 --shard-size 1000 --expected-index-sha256 b1e5ff0eaba2a45c6398e7cb90631cdc7387eff25ed0997a66374f25968a2f4d --expected-workload-sha256 49fa0b15f406132162cba1b47245f28a560d28b4f3af76985c855d77a145a2a6 --expected-images 500 --expected-questions 500 --seed 1234 --max-new-tokens 16 --min-free-after-gib 64.0

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:02<00:04,  2.38s/it]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:04<00:02,  2.29s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.05s/it]
Loading checkpoint shards: 100%|██████████| 3/3 [00:06<00:00,  2.13s/it]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[1/500] a023b7e346df33c8: 4 rows published; store 1.33 GB
[52/500] 0a87be85601d6fb5: 4 rows published; store 1.21 GB
[53/500] 02062d203a421358: 4 rows published; store 1.23 GB
[54/500] 481b56d643e269c5: 4 rows published; store 1.21 GB
[55/500] 71afaeadc3c4eeb8: 4 rows published; store 1.33 GB
[56/500] 03e02116803b7581: 4 rows published; store 1.10 GB
[57/500] 02df4a726c2bb5a5: 4 rows published; store 1.16 GB
[58/500] 766c327cbff72f01: 4 rows published; store 1.66 GB
[59/500] 4942bce39017422e: 4 rows published; store 1.21 GB
[60/500] 000adfe5b817011c: 4 rows published; store 1.34 GB
[61/500] f13f10a79762cc5e: 4 rows published; store 1.21 GB
[62/500] 1fec632a0f189f0c: 4 rows published; store 1.21 GB
[63/500] f608cb022dbf1fcc: 4 rows published; store 1.33 GB
[64/500] 082e2e8813e673df: 4 rows published; store 1.21 GB
[65/500] 0b1b19c7ee063044: 4 rows published; store 1.34 GB
[66/500] 07bb439545f503f0: 4 rows published; store 1.34 GB
[67/500] ccb8540a7d0d9243: 4 rows published; store 1.33 GB
[68/500] 6e3f65e6c469be18: 4 rows published; store 1.21 GB
[69/500] 359c918bb70c821e: 4 rows published; store 1.33 GB
[70/500] cc483568873edd96: 4 rows published; store 1.34 GB
[71/500] 2b92ce942467f122: 4 rows published; store 1.66 GB
[72/500] de6c60548526861a: 4 rows published; store 1.21 GB
[73/500] 0068742ad35c2586: 4 rows published; store 1.33 GB
[74/500] 48956fdf0fee99e5: 4 rows published; store 1.23 GB
[75/500] 04b59524b3cebdf2: 4 rows published; store 1.33 GB
[76/500] 56a972ef480eb607: 4 rows published; store 1.21 GB
[77/500] b82521b285df462f: 4 rows published; store 1.21 GB
[78/500] d16af4c04f78b5aa: 4 rows published; store 1.05 GB
[79/500] 6b688443b24698b6: 4 rows published; store 1.66 GB
[80/500] ca6bfc069a68d7bf: 4 rows published; store 1.21 GB
[81/500] 5a8c9df785b74297: 4 rows published; store 1.28 GB
[82/500] d39d71d4a0287360: 4 rows published; store 1.33 GB
[83/500] 02e523f39066742d: 4 rows published; store 1.33 GB
[84/500] 11074b77aed1e943: 4 rows published; store 1.33 GB
[85/500] 06f92f5456da8509: 4 rows published; store 1.33 GB
[86/500] 22957f4d898674d5: 4 rows published; store 1.33 GB
[87/500] 23aa67fffa5930eb: 4 rows published; store 1.10 GB
[88/500] 2ea931c8dc8e361b: 4 rows published; store 1.21 GB
[89/500] 3b6d52b6577f159f: 4 rows published; store 1.33 GB
[90/500] 19be5fa8ca794c00: 4 rows published; store 1.21 GB
[91/500] b958e104a7f85527: 4 rows published; store 1.50 GB
[92/500] de16e970e8c0adbe: 4 rows published; store 1.33 GB
[93/500] 13518248e1e47d2f: 4 rows published; store 1.66 GB
[94/500] 88f2513697fe0986: 4 rows published; store 1.13 GB
[95/500] b60dc6dee9c060de: 4 rows published; store 1.34 GB
[96/500] 0d6f54c1a331d990: 4 rows published; store 1.34 GB
[97/500] 11a81896b5ae3248: 4 rows published; store 1.49 GB
[98/500] 282aeaa6c802c517: 4 rows published; store 1.21 GB
[99/500] 3539db86f000fb74: 4 rows published; store 1.21 GB
[100/500] 0d751daf458c742e: 4 rows published; store 1.10 GB
[101/500] 002ce32086fb7258: 4 rows published; store 1.66 GB
[102/500] 12b2042218a261bc: 4 rows published; store 1.21 GB
[103/500] 473535e08285a342: 4 rows published; store 1.55 GB
[104/500] 8d5b7d3c09a447a2: 4 rows published; store 1.66 GB
[105/500] de1abfcce50ab798: 4 rows published; store 1.33 GB
[106/500] 4aa4be2c52209240: 4 rows published; store 1.28 GB
[107/500] 5a46d567e8821ee4: 4 rows published; store 1.18 GB
[108/500] d10e0feabd14e699: 4 rows published; store 1.33 GB
[109/500] ec58d889cd3b2a23: 4 rows published; store 1.21 GB
[110/500] acc2a6c28a356b86: 4 rows published; store 1.66 GB
[111/500] 37749ac2f2f8693c: 4 rows published; store 1.66 GB
[112/500] a2d6f44673bc855d: 4 rows published; store 1.34 GB
[113/500] 0b5fe5a1d237ac27: 4 rows published; store 1.33 GB
[114/500] 367e271ed9fc8b87: 4 rows published; store 1.34 GB
[115/500] 91295ca3c35a54cd: 4 rows published; store 1.27 GB
[116/500] cae70efd6016a666: 4 rows published; store 1.21 GB
[117/500] 2c0faabc3ddefe60: 4 rows published; store 1.33 GB
[118/500] 01d419a01258ddbe: 4 rows published; store 1.23 GB
[119/500] df2f4fb23f18939f: 4 rows published; store 1.21 GB
[120/500] 054a6a0f6f4a95f1: 4 rows published; store 1.21 GB
[121/500] dcc75bc47d863707: 4 rows published; store 1.33 GB
[122/500] 004cada0dea66c27: 4 rows published; store 1.05 GB
[123/500] ede449a84f6fba77: 4 rows published; store 1.23 GB
[124/500] 00efdc3a911667f2: 4 rows published; store 1.34 GB
[125/500] af081acf3f6798ea: 4 rows published; store 1.18 GB
[126/500] d9326e5ca4a41dd7: 4 rows published; store 1.33 GB
[127/500] f473176f1265a938: 4 rows published; store 1.12 GB
[128/500] 60a0b637c61c30d2: 4 rows published; store 1.18 GB
[129/500] 06108ddacf8b9258: 4 rows published; store 1.33 GB
[130/500] 33cff3fa3fc256bf: 4 rows published; store 1.33 GB
[131/500] c8a3d256acd17769: 4 rows published; store 1.34 GB
[132/500] 02774c51d44bb364: 4 rows published; store 1.21 GB
[133/500] 0b800f1cafabd16c: 4 rows published; store 1.23 GB
[134/500] 458fde71c4282476: 4 rows published; store 1.10 GB
[135/500] 00ecc16a9eb4a5ed: 4 rows published; store 1.60 GB
[136/500] 86dcf1f1b71f5e62: 4 rows published; store 1.34 GB
[137/500] 09562eaa8ca00eaf: 4 rows published; store 1.33 GB
[138/500] 8722d2986cbe54c2: 4 rows published; store 1.33 GB
[139/500] a4c5d8be910efa3e: 4 rows published; store 1.33 GB
[140/500] c631aaa23a493d28: 4 rows published; store 1.28 GB
[141/500] 26bcfd1e1a5a5d39: 4 rows published; store 1.21 GB
[142/500] d6a13284abb93a52: 4 rows published; store 1.21 GB
[143/500] 000fd38f35d0ad0c: 4 rows published; store 1.21 GB
[144/500] e8e903492cd0fe53: 4 rows published; store 1.38 GB
[145/500] 01b3265b22d23b50: 4 rows published; store 1.10 GB
[146/500] 001e68b987a389d5: 4 rows published; store 1.21 GB
[147/500] 43c4cf02486f1554: 4 rows published; store 1.33 GB
[148/500] 122cbbd1939a3797: 4 rows published; store 1.27 GB
[149/500] 88f4ce44737175a4: 4 rows published; store 1.33 GB
[150/500] c2e01a58f2826ab0: 4 rows published; store 1.21 GB
[151/500] f127244e633e1152: 4 rows published; store 1.39 GB
[152/500] 4bd90299af40d46d: 4 rows published; store 1.21 GB
[153/500] a94f5e596927ebea: 4 rows published; store 1.27 GB
[154/500] fadf7ca2cc49d232: 4 rows published; store 1.21 GB
[155/500] 0c07e2a99c5e169b: 4 rows published; store 1.21 GB
[156/500] 9a3382d727c7add1: 4 rows published; store 1.34 GB
[157/500] a1919ea8773c12fb: 4 rows published; store 1.33 GB
[158/500] 1643223e99fad9fa: 4 rows published; store 1.34 GB
[159/500] 368adc2e6ded01ba: 4 rows published; store 1.27 GB
[160/500] 6b5ee93b36f7db02: 4 rows published; store 1.66 GB
[161/500] a6ba8a7b7f10f515: 4 rows published; store 1.66 GB
[162/500] b9f45d24da6e9758: 4 rows published; store 1.33 GB
[163/500] 8ef76d6dde9bf612: 4 rows published; store 1.12 GB
[164/500] 66a75c9b2e03f2d2: 4 rows published; store 1.21 GB
[165/500] 1810f6deb7184d5e: 4 rows published; store 1.33 GB
[166/500] a24f47f2e0f5b8ff: 4 rows published; store 1.34 GB
[167/500] 1dfb0f4a97e80a90: 4 rows published; store 1.21 GB
[168/500] 59ed3cbd7abaffc5: 4 rows published; store 1.33 GB
[169/500] 064e34ad7f2fcd7b: 4 rows published; store 1.33 GB
[170/500] 6563299f516925e8: 4 rows published; store 1.33 GB
[171/500] 09374ceb971c63c6: 4 rows published; store 1.27 GB
[172/500] 85575add4f29de8b: 4 rows published; store 1.66 GB
[173/500] 14750cc81c71a100: 4 rows published; store 1.21 GB
[174/500] 9a7aa54a2d675787: 4 rows published; store 1.66 GB
[175/500] b1c20a83bb4646b2: 4 rows published; store 1.55 GB
[176/500] 80efcfa3623377a7: 4 rows published; store 1.34 GB
[177/500] f3aaa4cce9902cf9: 4 rows published; store 1.33 GB
[178/500] 9f57624d38c5acd8: 4 rows published; store 1.33 GB
[179/500] 107b1376e761c8a4: 4 rows published; store 1.33 GB
[180/500] e3f513d80be62837: 4 rows published; store 1.21 GB
[181/500] e687cf450e381174: 4 rows published; store 1.33 GB
[182/500] 5f190544bf6829c6: 4 rows published; store 1.34 GB
[183/500] d2af5ee28b5a79ce: 4 rows published; store 1.33 GB
[184/500] 247a4afb4f0dcb95: 4 rows published; store 1.33 GB
[185/500] 5791ba8b07394c6e: 4 rows published; store 1.34 GB
[186/500] 8bf4242cb2938ec4: 4 rows published; store 1.34 GB
[187/500] c9cf598ae4453a95: 4 rows published; store 1.23 GB
[188/500] d8bee3b52087d4a6: 4 rows published; store 1.66 GB
[189/500] f93af7a46db91ddb: 4 rows published; store 1.33 GB
[190/500] a76a2b6bbd273396: 4 rows published; store 1.34 GB
[191/500] 020aba3fb6452ba2: 4 rows published; store 1.33 GB
[192/500] ff210ae85b333ec0: 4 rows published; store 1.27 GB
[193/500] 0c0a22bfd0da315a: 4 rows published; store 1.21 GB
[194/500] e6d31487d1c1a2a6: 4 rows published; store 1.66 GB
[195/500] 6ba328da85b2f583: 4 rows published; store 1.21 GB
[196/500] 52e397095216d3ff: 4 rows published; store 1.61 GB
[197/500] e422f1049201b0f8: 4 rows published; store 1.21 GB
[198/500] 7c6a1f0ec7f7ca93: 4 rows published; store 1.21 GB
[199/500] e4a557e886cf77ff: 4 rows published; store 1.21 GB
[200/500] fee71c03d5a6cc98: 4 rows published; store 1.23 GB
[201/500] 00f964619cc0aad1: 4 rows published; store 1.05 GB
[202/500] b77fc6bccce2fb35: 4 rows published; store 1.10 GB
[203/500] 9b5832fb6e4b513e: 4 rows published; store 1.21 GB
[204/500] 28429e3df3abbe28: 4 rows published; store 1.34 GB
[205/500] b00e419be374801c: 4 rows published; store 1.66 GB
[206/500] c9271675f8fd3b88: 4 rows published; store 1.66 GB
[207/500] 68b5732b0c93b243: 4 rows published; store 1.23 GB
[208/500] 6d9c180202219918: 4 rows published; store 1.66 GB
[209/500] 48f54514302d1298: 4 rows published; store 1.33 GB
[210/500] b5872f9e752efd8c: 4 rows published; store 1.33 GB
[211/500] 0748e0ea8edb0f47: 4 rows published; store 1.21 GB
[212/500] 523f4b68dcd52c3b: 4 rows published; store 1.10 GB
[213/500] af67237a4a504a29: 4 rows published; store 1.34 GB
[214/500] 136e10aaaa4f8abd: 4 rows published; store 1.34 GB
[215/500] 6c10e191c4713f5f: 4 rows published; store 1.21 GB
[216/500] 48d130043bbf9df7: 4 rows published; store 1.49 GB
[217/500] eb3c37e5553f7ce0: 4 rows published; store 1.21 GB
[218/500] 0b8ccc48f8249011: 4 rows published; store 1.33 GB
[219/500] 02132cfd627a3c45: 4 rows published; store 1.33 GB
[220/500] 51ef555f40481c15: 4 rows published; store 1.33 GB
[221/500] 0134a2b3e00c9bbb: 4 rows published; store 1.34 GB
[222/500] 534b1900dba97f76: 4 rows published; store 1.27 GB
[223/500] 00ac944a31bbe0cc: 4 rows published; store 1.34 GB
[224/500] d73301e08e412143: 4 rows published; store 1.21 GB
[225/500] 6e18b90ea71b6c3f: 4 rows published; store 1.21 GB
[226/500] 5056a8e94ef14729: 4 rows published; store 1.66 GB
[227/500] 8d9a8547825d645e: 4 rows published; store 1.16 GB
[228/500] 9263605410aee40c: 4 rows published; store 1.33 GB
[229/500] efed24eaa45c8f63: 4 rows published; store 1.34 GB
[230/500] 0a2e7e1ac12be6fe: 4 rows published; store 1.33 GB
[231/500] ce5c81701d1be3b0: 4 rows published; store 1.21 GB
[232/500] afb0de7efbb6f177: 4 rows published; store 1.33 GB
[233/500] 5eab889eb7a1506e: 4 rows published; store 1.16 GB
[234/500] e7e77e2d4aaf4808: 4 rows published; store 1.21 GB
[235/500] 0328a24cc3047ec8: 4 rows published; store 1.33 GB
[236/500] 71c32e033fe9f0f0: 4 rows published; store 1.21 GB
[237/500] e4abf9b3912d5934: 4 rows published; store 1.33 GB
[238/500] c8dc32aa8ad274a6: 4 rows published; store 1.33 GB
[239/500] 8e767faa989e366d: 4 rows published; store 1.66 GB
[240/500] 1ae183173bc07d8c: 4 rows published; store 1.21 GB
[241/500] 439269de33b4ffe7: 4 rows published; store 1.21 GB
[242/500] 498eca1988468f48: 4 rows published; store 1.21 GB
[243/500] e378ec31a384027c: 4 rows published; store 1.33 GB
[244/500] 0031bff54b02c9c1: 4 rows published; store 1.33 GB
[245/500] 5b91bdbc8bf37fe4: 4 rows published; store 1.21 GB
[246/500] 9d25dca93b68a95c: 4 rows published; store 1.33 GB
[247/500] 3dff2d7f20513b62: 4 rows published; store 1.21 GB
[248/500] 3aa32bad16fa5724: 4 rows published; store 1.23 GB
[249/500] 1446039a7aed2bb7: 4 rows published; store 1.66 GB
[250/500] ad5781b6c1545384: 4 rows published; store 1.21 GB
[251/500] 004b75d1299e653c: 4 rows published; store 1.38 GB
[252/500] fddb29c9153b9c02: 4 rows published; store 1.66 GB
[253/500] 08c93de3c999abe0: 4 rows published; store 1.34 GB
[254/500] b194c1d4d687fd6e: 4 rows published; store 1.34 GB
[255/500] e0b89185459f5478: 4 rows published; store 1.33 GB
[256/500] 0250b83132397ad1: 4 rows published; store 1.21 GB
[257/500] abedeb5f780f2a81: 4 rows published; store 1.21 GB
[258/500] 27330fcacb356566: 4 rows published; store 1.21 GB
[259/500] 1aa93961e64cf814: 4 rows published; store 1.34 GB
[260/500] 0486a158aa01b171: 4 rows published; store 1.34 GB
[261/500] 873ee1c438bdc7e6: 4 rows published; store 1.33 GB
[262/500] 43e3bdf5255ebbc6: 4 rows published; store 1.66 GB
[263/500] 90db11cd7de11f9e: 4 rows published; store 1.23 GB
[264/500] f2035b9600c88c83: 4 rows published; store 1.23 GB
[265/500] 0d510e343e205774: 4 rows published; store 1.10 GB
[266/500] 60b9d758a15ea0b6: 4 rows published; store 1.66 GB
[267/500] 8873733d2c6195d9: 4 rows published; store 1.21 GB
[268/500] e9f50657a757f45e: 4 rows published; store 1.21 GB
[269/500] d31724a0e1a6889d: 4 rows published; store 1.16 GB
[270/500] 74df2b91b22a3198: 4 rows published; store 1.21 GB
[271/500] c0165f98ac53e0eb: 4 rows published; store 1.66 GB
[272/500] 44582b003b93be6a: 4 rows published; store 1.10 GB
[273/500] f861545168d6c88d: 4 rows published; store 1.23 GB
[274/500] 6eeade7b68b30cd0: 4 rows published; store 1.21 GB
[275/500] 9915724d3c7c15cb: 4 rows published; store 1.34 GB
[276/500] 4a364228be97bf0f: 4 rows published; store 1.21 GB
[277/500] a4f8fd67378730a8: 4 rows published; store 1.10 GB
[278/500] 56b9d4fbb61cbd66: 4 rows published; store 1.21 GB
[279/500] 25aa0d5e189efd76: 4 rows published; store 1.33 GB
[280/500] c02193f277f02e26: 4 rows published; store 1.33 GB
[281/500] 5219e8fbb20ebd73: 4 rows published; store 1.21 GB
[282/500] a61308902a95346e: 4 rows published; store 1.33 GB
[283/500] 6955439fc58fb5dd: 4 rows published; store 1.21 GB
[284/500] 49151d1d8e87fc7e: 4 rows published; store 1.21 GB
[285/500] e2a04ac53d89a4e4: 4 rows published; store 1.21 GB
[286/500] 2fa55fefd94032cc: 4 rows published; store 1.21 GB
[287/500] 347e360396b80741: 4 rows published; store 1.33 GB
[288/500] 1a77f252d4b2cec2: 4 rows published; store 1.66 GB
[289/500] bd63f6f2a002ee10: 4 rows published; store 1.66 GB
[290/500] 4ab35c806e6cdf9e: 4 rows published; store 1.21 GB
[291/500] 2fda7dceebdfd8f2: 4 rows published; store 1.33 GB
[292/500] 4f0e46cf9f9872a6: 4 rows published; store 1.66 GB
[293/500] 218505bf452b22e5: 4 rows published; store 1.21 GB
[294/500] 22907eebf26f3304: 4 rows published; store 1.33 GB
[295/500] 0080ab49662c727c: 4 rows published; store 1.21 GB
[296/500] 29ac45d489429cf9: 4 rows published; store 1.33 GB
[297/500] 294d71aafff175b5: 4 rows published; store 1.66 GB
[298/500] b917faf5923773c8: 4 rows published; store 1.33 GB
[299/500] 9218c5a41010b6b3: 4 rows published; store 1.27 GB
[300/500] 0673a09f8320a362: 4 rows published; store 1.66 GB
[301/500] e02a7817af8277af: 4 rows published; store 1.16 GB
[302/500] ff8700aea4449c7e: 4 rows published; store 1.23 GB
[303/500] a5a79a5811b8b602: 4 rows published; store 1.38 GB
[304/500] 2d02c441eb5347e7: 4 rows published; store 1.33 GB
[305/500] 85c6ced818673304: 4 rows published; store 1.21 GB
[306/500] 70b5fb121c3f64a0: 4 rows published; store 1.10 GB
[307/500] 746af1f297207e16: 4 rows published; store 1.33 GB
[308/500] d6763fc14413bba4: 4 rows published; store 1.33 GB
[309/500] 31fff763ae82a1fc: 4 rows published; store 1.27 GB
[310/500] 0053a650ec50c21f: 4 rows published; store 1.33 GB
[311/500] 51c3c5bbbcf30aff: 4 rows published; store 1.33 GB
[312/500] ad6dd057704d74c8: 4 rows published; store 1.18 GB
[313/500] 1a8660659b3f4ac0: 4 rows published; store 1.33 GB
[314/500] 135fb97b6e8984b6: 4 rows published; store 1.33 GB
[315/500] b975a12b717d49ce: 4 rows published; store 1.28 GB
[316/500] 895a8b2cf8263382: 4 rows published; store 1.21 GB
[317/500] eba183bd81ae10ca: 4 rows published; store 1.21 GB
[318/500] df37e8d8ac872966: 4 rows published; store 1.21 GB
[319/500] 18592fd2037cb7cf: 4 rows published; store 1.18 GB
[320/500] 9be1f64953e5cef3: 4 rows published; store 1.38 GB
[321/500] 0516b96f324d3185: 4 rows published; store 1.21 GB
[322/500] a20bb71106ca59e7: 4 rows published; store 1.34 GB
[323/500] 4eb8430da76cd5ea: 4 rows published; store 1.12 GB
[324/500] c3e59f3c4c59ed09: 4 rows published; store 1.23 GB
[325/500] 2bd7d936793d10ed: 4 rows published; store 1.50 GB
[326/500] c628b13e4668acd9: 4 rows published; store 1.66 GB
[327/500] 41fd69a9e115a900: 4 rows published; store 1.21 GB
[328/500] 58fff23e3b0de1ad: 4 rows published; store 1.33 GB
[329/500] f844ca01f13786d1: 4 rows published; store 1.21 GB
[330/500] 0632cdaee00bcca3: 4 rows published; store 1.27 GB
[331/500] 6ae9f1777f0f348b: 4 rows published; store 1.23 GB
[332/500] c05b878ffc274966: 4 rows published; store 1.25 GB
[333/500] 11887ea3372dd4c7: 4 rows published; store 1.50 GB
[334/500] 033ecc2e897a1ebf: 4 rows published; store 1.33 GB
[335/500] cd01d5766225ba2b: 4 rows published; store 1.33 GB
[336/500] 21947330165b5c88: 4 rows published; store 1.45 GB
[337/500] 5797a011421a293d: 4 rows published; store 1.33 GB
[338/500] 0dc0a557f0995af8: 4 rows published; store 1.33 GB
[339/500] 4269e5aabf755470: 4 rows published; store 1.39 GB
[340/500] 7b5d2a652d00bc95: 4 rows published; store 1.49 GB
[341/500] b3c37fa242e67920: 4 rows published; store 1.21 GB
[342/500] baa1eee9f1da96d7: 4 rows published; store 1.10 GB
[343/500] b04c2070f2fa6bad: 4 rows published; store 1.21 GB
[344/500] f548c875258111b7: 4 rows published; store 1.34 GB
[345/500] c4dcaff97d72a46f: 4 rows published; store 1.21 GB
[346/500] bd069cb2c813388a: 4 rows published; store 1.66 GB
[347/500] 901fbc393f9371fe: 4 rows published; store 1.21 GB
[348/500] f34b8601eb875a8d: 4 rows published; store 1.23 GB
[349/500] 66e650e9e332cb40: 4 rows published; store 1.33 GB
[350/500] ea79782f32732483: 4 rows published; store 1.33 GB
[351/500] cee0cb5deaa1eb17: 4 rows published; store 1.33 GB
[352/500] 0a65ea998e489351: 4 rows published; store 1.66 GB
[353/500] f8a979d3ffb4711a: 4 rows published; store 1.34 GB
[354/500] 239ad3ea05915adc: 4 rows published; store 1.10 GB
[355/500] 8fe66ea8c7e2a60e: 4 rows published; store 1.33 GB
[356/500] 3b9477019a4cad4a: 4 rows published; store 1.21 GB
[357/500] a97fce17f3941874: 4 rows published; store 1.34 GB
[358/500] 0615bdf42cb27974: 4 rows published; store 1.21 GB
[359/500] ab9c12b4c9a65443: 4 rows published; store 1.34 GB
[360/500] 3a0310534176b044: 4 rows published; store 1.27 GB
[361/500] 913e3a07448f61d4: 4 rows published; store 1.66 GB
[362/500] 9dbf0225475ea1ae: 4 rows published; store 1.33 GB
[363/500] c9d902416037a09e: 4 rows published; store 1.21 GB
[364/500] 024604312c78c4f4: 4 rows published; store 1.28 GB
[365/500] d09de4e2a869a314: 4 rows published; store 1.21 GB
[366/500] a1a422edbbd2b0be: 4 rows published; store 1.33 GB
[367/500] a7ad2bcb93d48576: 4 rows published; store 1.21 GB
[368/500] e7b7be77caf99b9e: 4 rows published; store 1.66 GB
[369/500] 516faf5bb4aab258: 4 rows published; store 1.33 GB
[370/500] 79b2c25191470eb8: 4 rows published; store 1.33 GB
[371/500] f3f1dc7b8d3fc7cc: 4 rows published; store 1.34 GB
[372/500] f78aaf3268a66fec: 4 rows published; store 1.33 GB
[373/500] bb00fe08f620a367: 4 rows published; store 1.66 GB
[374/500] 007c8c28e1f149b1: 4 rows published; store 1.49 GB
[375/500] 561af646641b5ff8: 4 rows published; store 1.23 GB
[376/500] 51662f802ef90ed2: 4 rows published; store 1.21 GB
[377/500] 985de75e18bcd12c: 4 rows published; store 1.33 GB
