dataset,category_source,category_rule,dataset_interpretation,question_type,method,n_questions,score,score_pct,quality_delta_vs_fullload,quality_delta_vs_fullload_pp
vqav2,question-text regex heuristic,\bhow many|number of\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,count,Prefix25,106,0.7106918238993709,71.0691823899371,-0.03459119496855356,-3.4591194968553562
vqav2,question-text regex heuristic,\bhow many|number of\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,count,Prefix45,106,0.7484276729559747,74.84276729559747,0.0031446540880502027,0.3144654088050203
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,ReComp,31,0.7849462365591396,78.49462365591397,0.0,0.0
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,FullLoad,31,0.7849462365591396,78.49462365591397,0.0,0.0
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,Prefix25,31,0.7096774193548386,70.96774193548386,-0.07526881720430101,-7.526881720430101
vqav2,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,spatial,Prefix45,31,0.7634408602150535,76.34408602150535,-0.021505376344086113,-2.1505376344086113
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,ReComp,13,0.46153846153846156,46.15384615384615,0.0,0.0
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,FullLoad,13,0.46153846153846156,46.15384615384615,0.0,0.0
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,Prefix25,13,0.6923076923076923,69.23076923076923,0.23076923076923073,23.076923076923073
vqav2,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,material/attr,Prefix45,13,0.46153846153846156,46.15384615384615,0.0,0.0
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,ReComp,295,0.7717514124293785,77.17514124293785,-0.002259887005649719,-0.2259887005649719
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,FullLoad,295,0.7740112994350282,77.40112994350282,0.0,0.0
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,Prefix25,295,0.6926553672316383,69.26553672316383,-0.08135593220338988,-8.135593220338988
vqav2,question-text regex heuristic,^(what|which|who)\b,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,object,Prefix45,295,0.7559322033898302,75.59322033898303,-0.018079096045197973,-1.8079096045197973
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,ReComp,56,0.5535714285714286,55.35714285714286,0.0,0.0
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,FullLoad,56,0.5535714285714286,55.35714285714286,0.0,0.0
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,Prefix25,56,0.4583333333333333,45.83333333333333,-0.09523809523809529,-9.523809523809529
vqav2,question-text regex heuristic,fallback after all preceding rules,The yes/no and count buckets approximate VQAv2 yes/no and number; the remaining lexical buckets are exploratory subdivisions of the official-style other class.,other,Prefix45,56,0.5595238095238095,55.952380952380956,0.005952380952380931,0.5952380952380931
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,ReComp,26,0.9230769230769231,92.3076923076923,0.0,0.0
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,FullLoad,26,0.9230769230769231,92.3076923076923,0.0,0.0
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,Prefix25,26,0.8333333333333333,83.33333333333333,-0.08974358974358987,-8.974358974358987
textvqa,question-text regex heuristic,^(is|are|do|does|was|were|has|have|can|did)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,yes/no,Prefix45,26,0.9358974358974359,93.58974358974359,0.012820512820512775,1.2820512820512775
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,ReComp,7,0.5714285714285714,57.14285714285714,0.0,0.0
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,FullLoad,7,0.5714285714285714,57.14285714285714,0.0,0.0
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,Prefix25,7,0.7142857142857143,71.42857142857143,0.1428571428571429,14.28571428571429
textvqa,question-text regex heuristic,\bcolou?r|what colou?r\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,color,Prefix45,7,0.7142857142857143,71.42857142857143,0.1428571428571429,14.28571428571429
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,ReComp,15,0.5333333333333333,53.333333333333336,0.0,0.0
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,FullLoad,15,0.5333333333333333,53.333333333333336,0.0,0.0
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,Prefix25,15,0.5333333333333333,53.333333333333336,0.0,0.0
textvqa,question-text regex heuristic,\bhow many|number of\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,count,Prefix45,15,0.4666666666666667,46.666666666666664,-0.06666666666666665,-6.666666666666665
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,ReComp,83,0.46987951807228917,46.98795180722892,0.0,0.0
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,FullLoad,83,0.46987951807228917,46.98795180722892,0.0,0.0
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,Prefix25,83,0.46987951807228917,46.98795180722892,0.0,0.0
textvqa,question-text regex heuristic,\b(left|right|above|below|behind|front|under|near|beside|top|bottom|side)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,spatial,Prefix45,83,0.47791164658634533,47.791164658634536,0.008032128514056158,0.8032128514056158
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,ReComp,5,0.26666666666666666,26.666666666666668,0.0,0.0
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,FullLoad,5,0.26666666666666666,26.666666666666668,0.0,0.0
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,Prefix25,5,0.3333333333333333,33.33333333333333,0.06666666666666665,6.666666666666665
textvqa,question-text regex heuristic,\b(material|made of|shape|size|texture|large|small|tall|short|thin|thick)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,material/attr,Prefix45,5,0.3333333333333333,33.33333333333333,0.06666666666666665,6.666666666666665
textvqa,question-text regex heuristic,^(what|which|who)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,object,ReComp,316,0.6592827004219409,65.92827004219409,0.0,0.0
textvqa,question-text regex heuristic,^(what|which|who)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,object,FullLoad,316,0.6592827004219409,65.92827004219409,0.0,0.0
textvqa,question-text regex heuristic,^(what|which|who)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,object,Prefix25,316,0.6023206751054853,60.232067510548525,-0.05696202531645567,-5.696202531645566
textvqa,question-text regex heuristic,^(what|which|who)\b,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,object,Prefix45,316,0.659282700421941,65.9282700421941,1.1102230246251565e-16,1.1102230246251565e-14
textvqa,question-text regex heuristic,fallback after all preceding rules,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,other,ReComp,48,0.5208333333333334,52.083333333333336,0.0,0.0
textvqa,question-text regex heuristic,fallback after all preceding rules,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,other,FullLoad,48,0.5208333333333334,52.083333333333336,0.0,0.0
textvqa,question-text regex heuristic,fallback after all preceding rules,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,other,Prefix25,48,0.4930555555555555,49.30555555555555,-0.027777777777777846,-2.777777777777785
textvqa,question-text regex heuristic,fallback after all preceding rules,Every row belongs to the OCR-focused TextVQA workload; these lexical question-form facets are not official OCR/non-OCR annotations.,other,Prefix45,48,0.5208333333333334,52.083333333333336,0.0,0.0
